DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
LCS_2000,LCS_2000_476,CCc1c(-c2cc(O)nc(CN(C(=O)CN)c3cccc(CNCN)c3)c2)c(=O)c1=O,-6.706,-6.7176108,-11.756804,-6.7176108,0.99962282,No_8_394,No_8_394_out,3.225
LCS_2000,LCS_2000_477,O=C(CNc1nn[nH]n1)Oc1cc(CC[C@H](O)C(=O)O)ccc1CO,-6.808,-6.4453392,-11.703362,-6.4453392,1.2636837,No_8_398,No_8_398_out,3.248
LCS_2000,LCS_2000_478,NC(=O)c1c(Oc2cncnc2N)cccc1C(=O)[C@H](N)c1cc(=O)c1=O,-6.99,-6.2139645,-10.172745,-6.2139645,1.7808303,No_8_401,No_8_401_out,3.518
LCS_2000,LCS_2000_479,CC(=O)Cc1ccc(NC(=O)NC(=O)n2nc([C@@H](N)CO)nc2C(=O)O)cc1,-7.05,-6.5991979,-11.765103,-6.5991979,2.5699637,No_8_402,No_8_402_out,3.462
LCS_2000,LCS_2000_480,CCN(Cc1cc(-c2c(CCCN)c(=O)c2=O)cc(O)n1)C(=O)CN,-6.862,-6.1989145,-11.052311,-6.1989145,0.78015542,No_8_405,No_8_405_out,3.16
LCS_2000,LCS_2000_481,CCCCCc1ccc(N(Cc2cc(-c3c(CC)c(=O)c3=O)cc(O)n2)C(=O)CN)cc1,-7.585,-6.9079666,-9.7782393,-6.9079666,1.59446,No_8_410,No_8_410_out,2.937
LCS_2000,LCS_2000_482,COCc1ncc(Oc2cccc([C@](O)(CN)CNCCCCO)c2C(N)=O)c(N)n1,-5.873,-6.5489888,-14.162102,-6.5489888,1.5367023,No_8_412,No_8_412_out,3.567
LCS_2000,LCS_2000_483,CC(=O)OCC(=O)N(Cc1cc(-c2c(CCN)c(=O)c2=O)cc(O)n1)C(=O)CN,-6.188,-6.6003723,-14.359438,-6.6003723,1.5195352,No_8_416,No_8_416_out,3.359
LCS_2000,LCS_2000_484,NCc1ncc(CC(N)=O)cc1Oc1ccc([C@@H](CN)CCO)cc1C(N)=O,-6.725,-7.0775108,-13.910683,-7.0775108,3.0753772,No_8_419,No_8_419_out,3.353
LCS_2000,LCS_2000_485,C[C@@H](O)c1cccc(OC(=O)CNc2nn[nH]n2)c1NC(=O)CO,-6.566,-6.0268145,-9.8578167,-6.0268145,2.1141171,No_8_420,No_8_420_out,3.353
LCS_2000,LCS_2000_486,NCCC[C@H](N)c1ccc(N)c(OC(=O)CNc2nn[nH]n2)c1,-6.493,-6.0380802,-14.586679,-6.0380802,2.5947444,No_8_424,No_8_424_out,3.312
LCS_2000,LCS_2000_487,NCNCCN(Cc1cc(-c2cc(=O)c2=O)cc(O)n1)C(=O)CN,-6.314,-6.2883902,-13.12983,-6.2883902,3.3480635,No_8_442,No_8_442_out,3.346
LCS_2000,LCS_2000_488,NCOCCCNCc1ncc(Oc2cccc([C@H](O)CN)c2C(N)=O)c(N)n1,-5.523,-6.7529631,-15.936252,-6.7529631,2.370785,No_8_443,No_8_443_out,3.562
