DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
CRAFT_1000,CRAFT_1000_243,[NH][C@@](Cc1ccc(Nc2cc(CN)ccc2O)cn1)(C(=O)CO)C(=O)CC(=O)O,-6.579,-6.6981277,-12.449533,-6.6981277,1.1026903,No_9_265,No_9_265_out,3.677
CRAFT_1000,CRAFT_1000_244,N=C(NCCc1cc(CO)c2cn[nH]c2n1)Nc1cc(CN)ccc1O,-6.881,-6.8747587,-13.281499,-6.8747587,2.1044092,No_9_290,No_9_290_out,3.134
CRAFT_1000,CRAFT_1000_245,CCCCCC(=O)[C@@H](Cc1ccc(Nc2cc(CO)ccc2O)cn1)C(=O)O,-6.8,-6.943562,-10.591228,-6.943562,1.2109795,No_9_317,No_9_317_out,3.031
CRAFT_1000,CRAFT_1000_246,CC[C@H](N)c1ccc([NH])c(C(=O)c2cncc(Nc3cc(CCCO)ccc3O)c2)c1,-7.216,-6.6638484,-11.503428,-6.6638484,3.376534,No_9_405,No_9_405_out,3.394
CRAFT_1000,CRAFT_1000_247,NCNCc1cnccc1NC(=O)CNc1cc(CO)cc(C(=O)NCCO)c1,-6.555,-7.0500379,-12.038822,-7.0500379,1.9960679,No_9_419,No_9_419_out,2.679
CRAFT_1000,CRAFT_1000_248,NCCCCc1nn([C@H](CN)C(=O)c2ccc(O)cc2)c(=O)o1,-6.158,-6.277524,-12.603453,-6.277524,1.9842749,No_9_472,No_9_472_out,3.315
CRAFT_1000,CRAFT_1000_249,OCCCNC[C@](O)(CO)c1cc(O)cc(CCO)n1,-5.271,-5.8413014,-12.687123,-5.8413014,1.5346426,No_9_475,No_9_475_out,3.625
CRAFT_1000,CRAFT_1000_250,NCc1cccc(O)c1-c1noc(CCNCc2ccccc2)n1,-6.745,-6.4959154,-12.695556,-6.4959154,1.6384021,No_9_487,No_9_487_out,2.303
CRAFT_1000,CRAFT_1000_251,CNCCC(=O)c1nonc1-c1ccc(C(=O)O)c(OC(=O)CN)c1,-6.526,-6.3223867,-11.398403,-6.3223867,2.7020547,No_9_493,No_9_493_out,2.845
CRAFT_1000,CRAFT_1000_252,NC[C@@H](C(=O)O)c1[nH]cc(CCCNC(=O)Nc2cccc(O)c2)c1C(=O)O,-6.547,-6.5177665,-12.810283,-6.5177665,2.8882909,No_9_498,No_9_498_out,3.205
CRAFT_1000,CRAFT_1000_253,N=C(NCCc1cc(CO)c2cn[nH]c2n1)Nc1cc(NC(N)=O)ccc1O,-7.698,-7.2294359,-13.017875,-7.2294359,2.3572459,No_9_544,No_9_544_out,3.087
CRAFT_1000,CRAFT_1000_254,NCc1cccc(C(=O)c2cncc(Nc3cc(CN)ccc3O)c2)c1,-7.817,-6.4134469,-15.301562,-6.4134469,1.7810888,No_9_615,No_9_615_out,2.368
CRAFT_1000,CRAFT_1000_255,NCc1cc(O)cc([C@@](O)(CO)c2ccc(C(N)=O)cc2)n1,-7.4,-6.0084596,-12.370214,-6.0084596,1.0551274,No_9_627,No_9_627_out,3.253
CRAFT_1000,CRAFT_1000_256,CCCCCCC(=O)c1nonc1-c1ccc(C(=O)O)c(OC(=O)CN)c1,-6.521,-6.4368796,-10.316733,-6.4368796,1.456431,No_9_636,No_9_636_out,2.692
CRAFT_1000,CRAFT_1000_257,CC[C@@H](CO)Cc1ccc(O)c(Nc2cncc(C(=O)c3cc(CN)ccc3[NH])c2)c1,-7.76,-6.5760202,-11.923953,-6.5760202,2.0761266,No_9_638,No_9_638_out,3.44
CRAFT_1000,CRAFT_1000_258,CCOC(=O)CC[C@](O)(CO)c1cc(O)cc(CN)n1,-6.097,-6.1063471,-12.299675,-6.1063471,1.592541,No_9_651,No_9_651_out,3.537
CRAFT_1000,CRAFT_1000_259,NCNCC(=O)c1nonc1-c1ccc(C(=O)O)c(OC(=O)CN)c1,-6.042,-6.2353063,-12.134852,-6.2353063,3.3491077,No_9_674,No_9_674_out,3.058
CRAFT_1000,CRAFT_1000_260,NCCCNc1cccc(OC[C@H](N)CO)c1O,-5.417,-5.8374448,-13.770036,-5.8374448,2.1602223,No_9_719,No_9_719_out,2.974
lig_7p2u,lig_7p2u,CN1CCC2(CC1)c1ccccc1N(Cc1ccc(C(=O)NO)s1)[C@@H]2c1cccc(Cl)c1,-7.459,-6.4713764,-10.798885,-6.4713764,1.6090615,lig_7p2u,lig_7p2u,3.71
